Country Name,Country Code,Year,gdp,pop,medal number
Brazil,BRA,1976,153168949208.0,109790943.0,3.0
Canada,CAN,1976,206575564909.0,23449808.0,20.0
Austria,AUT,1976,42959976222.0,7565525.0,1.0
Spain,ESP,1976,118507184780.0,36137812.0,6.0
Finland,FIN,1976,31849513771.0,4725664.0,6.0
Italy,ITA,1976,224717278437.0,55718260.0,31.0
France,FRA,1976,372319038514.0,54220033.0,20.0
Cuba,CUB,1976,13789579903.0,9554186.0,24.0
India,IND,1980,186325345090.0,698952837.0,16.0
"Venezuela, RB",VEN,1980,59116511628.0,15182616.0,1.0
Uganda,UGA,1980,1244610000.0,12442333.0,1.0
Sweden,SWE,1980,142092068281.0,8310531.0,18.0
Mexico,MEX,1980,205139086957.0,67761367.0,12.0
Jamaica,JAM,1980,2679409453.0,2162839.0,3.0
Italy,ITA,1980,477256775944.0,56433883.0,37.0
Guyana,GUY,1980,603200000.0,780153.0,1.0
Ireland,IRL,1980,21747855640.0,3412800.0,3.0
France,FRA,1980,701288419745.0,55161510.0,29.0
Finland,FIN,1980,53645202423.0,4779535.0,9.0
Spain,ESP,1980,232766822929.0,37491165.0,24.0
Cuba,CUB,1980,19912889861.0,9849457.0,20.0
Brazil,BRA,1980,237393489893.0,120694012.0,9.0
Belgium,BEL,1980,126829314388.0,9859242.0,1.0
Austria,AUT,1980,82058912997.0,7549433.0,5.0
Australia,AUS,1980,150032311978.0,14692000.0,12.0
United Kingdom,GBR,1980,564947710899.0,56314216.0,45.0
Japan,JPN,1984,1318381627004.0,120083000.0,49.0
Kenya,KEN,1984,6191437070.0,19146403.0,3.0
"Korea, Rep.",KOR,1984,97510235986.0,40405956.0,42.0
Morocco,MAR,1984,14824728528.0,22002641.0,2.0
Mexico,MEX,1984,184261495828.0,74352631.0,6.0
Norway,NOR,1984,62057955033.0,4140099.0,4.0
New Zealand,NZL,1984,21665975319.0,3227100.0,23.0
Syrian Arab Republic,SYR,1984,19195414013.0,10293048.0,1.0
Peru,PER,1984,17599660054.0,19319746.0,1.0
Sweden,SWE,1984,109201362581.0,8336605.0,32.0
Thailand,THA,1984,41797592963.0,51094870.0,1.0
Turkey,TUR,1984,59989909458.0,48114158.0,3.0
United States,USA,1984,4037613000000.0,235825000.0,333.0
Jamaica,JAM,1984,2373566957.0,2306367.0,6.0
"Venezuela, RB",VEN,1984,60010285714.0,16876703.0,3.0
Italy,ITA,1984,437887689002.0,56576718.0,63.0
Pakistan,PAK,1984,31151825467.0,89213708.0,16.0
Ireland,IRL,1984,20106648455.0,3532423.0,1.0
Austria,AUT,1984,67985344887.0,7561434.0,3.0
Belgium,BEL,1984,83349530159.0,9855372.0,5.0
Brazil,BRA,1984,188339974087.0,132383569.0,37.0
Canada,CAN,1984,355372558104.0,25607053.0,86.0
China,CHN,1984,259946510957.0,1036825000.0,76.0
Cote d'Ivoire,CIV,1984,6841638715.0,9530103.0,1.0
Cameroon,CMR,1984,7311937457.0,9757849.0,1.0
Australia,AUS,1984,193593551893.0,15544000.0,50.0
Dominican Republic,DOM,1984,11594000000.0,6331760.0,1.0
Colombia,COL,1984,38253120738.0,29331230.0,1.0
United Kingdom,GBR,1984,461487097632.0,56422072.0,72.0
France,FRA,1984,530683779929.0,56337675.0,68.0
Iceland,ISL,1984,2864441356.0,239511.0,1.0
Spain,ESP,1984,172102910371.0,38330364.0,19.0
"Egypt, Arab Rep.",EGY,1984,33971188992.0,47968643.0,1.0
Finland,FIN,1984,52888800950.0,4881803.0,12.0
"Korea, Rep.",KOR,1988,199590823957.0,42031247.0,77.0
Morocco,MAR,1988,25705296184.0,23903592.0,3.0
Mexico,MEX,1988,181611549976.0,80788725.0,2.0
Norway,NOR,1988,101900260856.0,4209488.0,23.0
New Zealand,NZL,1988,45176811594.0,3283400.0,24.0
Pakistan,PAK,1988,38472742808.0,101389603.0,1.0
Romania,ROU,1988,40809523810.0,23057662.0,51.0
Senegal,SEN,1988,6418419798.0,7086624.0,1.0
Sweden,SWE,1988,206986674501.0,8436489.0,16.0
Thailand,THA,1988,61667199835.0,54891520.0,1.0
Turkey,TUR,1988,90852814005.0,52053764.0,2.0
United States,USA,1988,5236438000000.0,244499000.0,193.0
Kenya,KEN,1988,8355380879.0,22153685.0,9.0
Peru,PER,1988,15439408447.0,21153462.0,12.0
Suriname,SUR,1988,1161000000.0,388877.0,1.0
Japan,JPN,1988,3071683013179.0,122578000.0,20.0
Italy,ITA,1988,891608957156.0,56629288.0,29.0
Jamaica,JAM,1988,3828310735.0,2389415.0,5.0
Argentina,ARG,1988,126206817196.0,31668939.0,13.0
Australia,AUS,1988,236065919674.0,16532200.0,34.0
Belgium,BEL,1988,162299103675.0,9901664.0,2.0
Brazil,BRA,1988,308333568571.0,143627505.0,28.0
Canada,CAN,1988,507354351182.0,26791747.0,21.0
Austria,AUT,1988,133339397080.0,7585317.0,1.0
Colombia,COL,1988,39212550050.0,31822527.0,1.0
Djibouti,DJI,1988,395794538.6,528993.0,1.0
Spain,ESP,1988,376160409941.0,38766939.0,5.0
Finland,FIN,1988,109058990760.0,4946481.0,4.0
France,FRA,1988,1018847043277.0,57627106.0,29.0
United Kingdom,GBR,1988,910122732124.0,56928327.0,53.0
China,CHN,1988,312353631208.0,1101630000.0,53.0
Pakistan,PAK,1992,48884606848.0,113911126.0,16.0
Kenya,KEN,1992,8209129172.0,25326080.0,8.0
"Korea, Rep.",KOR,1992,355525267405.0,43747962.0,49.0
Morocco,MAR,1992,33711069431.0,25711410.0,3.0
Mexico,MEX,1992,363157598242.0,87075136.0,1.0
Norway,NOR,1992,130838040068.0,4286401.0,23.0
New Zealand,NZL,1992,41649829860.0,3531700.0,15.0
Peru,PER,1992,35966302303.0,22966822.0,1.0
Turkey,TUR,1992,158459130435.0,55748946.0,6.0
Qatar,QAT,1992,7646153984.0,495403.0,1.0
Romania,ROU,1992,25121666667.0,22794284.0,53.0
Suriname,SUR,1992,404600000.0,420658.0,1.0
Sweden,SWE,1992,284321115595.0,8668067.0,35.0
Thailand,THA,1992,111452869378.0,57811025.0,1.0
United States,USA,1992,6520327000000.0,256514000.0,224.0
Japan,JPN,1992,3908809463464.0,124425000.0,47.0
Poland,POL,1992,94337050693.0,38363667.0,42.0
Jamaica,JAM,1992,3535460090.0,2461047.0,4.0
Namibia,NAM,1992,3429538534.0,1516951.0,2.0
Ireland,IRL,1992,55918538121.0,3558430.0,2.0
Argentina,ARG,1992,228788617202.0,33529320.0,2.0
Australia,AUS,1992,325480273783.0,17495000.0,57.0
Austria,AUT,1992,195078126722.0,7840709.0,6.0
Brazil,BRA,1992,328187944301.0,154259382.0,14.0
Canada,CAN,1992,592387689253.0,28371264.0,44.0
China,CHN,1992,426915712716.0,1164970000.0,83.0
Colombia,COL,1992,58418985443.0,34422568.0,1.0
Cuba,CUB,1992,22085858243.0,10736386.0,71.0
Belgium,BEL,1992,234781652447.0,10045158.0,3.0
Ethiopia,ETH,1992,10492993078.0,51423591.0,3.0
Finland,FIN,1992,112532519246.0,5041992.0,7.0
Italy,ITA,1992,1320161644933.0,56797087.0,46.0
France,FRA,1992,1401465923172.0,58851216.0,57.0
United Kingdom,GBR,1992,1179659529660.0,57580402.0,50.0
Ghana,GHA,1992,6413901602.0,15653345.0,13.0
Hungary,HUN,1992,38730585922.0,10369341.0,45.0
Spain,ESP,1992,630916018203.0,39157685.0,66.0
Norway,NOR,1996,163520109151.0,4381336.0,25.0
Namibia,NAM,1996,3989208662.0,1663378.0,2.0
Mozambique,MOZ,1996,3856799844.0,15960445.0,1.0
Mexico,MEX,1996,410975595310.0,93147045.0,1.0
"Korea, Rep.",KOR,1996,610169556840.0,45524681.0,66.0
Morocco,MAR,1996,43161452678.0,27383472.0,2.0
Lithuania,LTU,1996,8382519637.0,3601613.0,12.0
Kazakhstan,KAZ,1996,21035368251.0,15578227.0,11.0
New Zealand,NZL,1996,70140835299.0,3732000.0,9.0
Moldova,MDA,1996,1695122174.0,2946401.0,3.0
Poland,POL,1996,160193242090.0,38624370.0,21.0
Uganda,UGA,1996,6044585327.0,21032817.0,1.0
Russian Federation,RUS,1996,391724890744.0,148160129.0,115.0
Slovak Republic,SVK,1996,27925036755.0,5373361.0,3.0
Sweden,SWE,1996,291743811512.0,8840998.0,31.0
Syrian Arab Republic,SYR,1996,61546280624.0,14754148.0,1.0
Thailand,THA,1996,183035114648.0,60130190.0,2.0
Tunisia,TUN,1996,19587322786.0,9267335.0,1.0
Turkey,TUR,1996,181475555283.0,59423278.0,6.0
Japan,JPN,1996,4923391533852.0,125757000.0,43.0
Ukraine,UKR,1996,44558075977.0,51057800.0,34.0
United States,USA,1996,8073122000000.0,269394000.0,260.0
Uzbekistan,UZB,1996,13948892216.0,23225000.0,2.0
Romania,ROU,1996,36937074278.0,22619004.0,38.0
Jamaica,JAM,1996,7393883555.0,2558631.0,16.0
Kenya,KEN,1996,12045858436.0,28589456.0,8.0
Israel,ISR,1996,110180666416.0,5692000.0,1.0
Italy,ITA,1996,1312426527795.0,56860281.0,71.0
Armenia,ARM,1996,1596968946.0,3168213.0,2.0
Australia,AUS,1996,401089529590.0,18311000.0,132.0
Austria,AUT,1996,237250948791.0,7959017.0,3.0
Azerbaijan,AZE,1996,3176333837.0,7763000.0,1.0
Burundi,BDI,1996,869033856.3,6060110.0,1.0
Belgium,BEL,1996,279201433225.0,10156637.0,6.0
Belarus,BLR,1996,14756846154.0,10159569.0,23.0
Brazil,BRA,1996,850426433004.0,164614682.0,64.0
Canada,CAN,1996,628546387972.0,29610218.0,51.0
China,CHN,1996,863746717507.0,1217550000.0,110.0
Cuba,CUB,1996,25017368700.0,10939285.0,57.0
Argentina,ARG,1996,272149750000.0,35246376.0,20.0
Ecuador,ECU,1996,25226393197.0,11703169.0,1.0
Czech Republic,CZE,1996,67387788633.0,10315241.0,13.0
India,IND,1996,392897054348.0,982365248.0,1.0
Hungary,HUN,1996,46658755152.0,10311238.0,43.0
"Hong Kong SAR, China",HKG,1996,159717233622.0,6435500.0,1.0
Georgia,GEO,1996,3095047604.0,4491699.0,2.0
Ireland,IRL,1996,75790786290.0,3637510.0,4.0
France,FRA,1996,1605675086550.0,59753095.0,51.0
Finland,FIN,1996,132129174217.0,5124573.0,4.0
Ethiopia,ETH,1996,8547939731.0,58883531.0,3.0
Spain,ESP,1996,642588992513.0,39889852.0,67.0
United Kingdom,GBR,1996,1421514820593.0,58166950.0,26.0
Mexico,MEX,2000,707906744575.0,98899845.0,6.0
Moldova,MDA,2000,1288429392.0,2923783.0,2.0
Morocco,MAR,2000,38857251336.0,28793672.0,5.0
Lithuania,LTU,2000,11524776867.0,3499536.0,17.0
Kyrgyz Republic,KGZ,2000,1369688498.0,4898400.0,1.0
Kenya,KEN,2000,12705357103.0,31964557.0,7.0
Kazakhstan,KAZ,2000,18291994909.0,14883626.0,7.0
Japan,JPN,2000,4968359075957.0,126843000.0,43.0
North Macedonia,MKD,2000,3772857145.0,2026350.0,1.0
Jamaica,JAM,2000,9005064475.0,2654698.0,23.0
"Korea, Rep.",KOR,2000,576178114168.0,47008111.0,73.0
Mozambique,MOZ,2000,5656473652.0,17711925.0,1.0
Uzbekistan,UZB,2000,13760513969.0,24650400.0,4.0
New Zealand,NZL,2000,52623281957.0,3857700.0,4.0
Poland,POL,2000,172219461126.0,38258629.0,24.0
Qatar,QAT,2000,17759890110.0,592467.0,1.0
Romania,ROU,2000,37253259017.0,22442971.0,46.0
Slovak Republic,SVK,2000,29169953013.0,5388720.0,6.0
Sweden,SWE,2000,262835454367.0,8872109.0,32.0
Thailand,THA,2000,126392233707.0,62952639.0,3.0
Turkey,TUR,2000,274302959053.0,63240196.0,5.0
Ukraine,UKR,2000,32375280321.0,49176500.0,35.0
United States,USA,2000,10252345464000.0,282162411.0,248.0
Italy,ITA,2000,1143829832320.0,56942108.0,65.0
Norway,NOR,2000,171247131269.0,4490967.0,44.0
Israel,ISR,2000,132455662080.0,6289000.0,1.0
Russian Federation,RUS,2000,259710142197.0,146596869.0,188.0
Ireland,IRL,2000,99958806891.0,3805174.0,1.0
Iceland,ISL,2000,9025660362.0,281205.0,1.0
Argentina,ARG,2000,284203750000.0,36870796.0,20.0
Armenia,ARM,2000,1911563669.0,3069597.0,1.0
Australia,AUS,2000,415576210513.0,19153000.0,183.0
Austria,AUT,2000,196799778883.0,8011566.0,4.0
Azerbaijan,AZE,2000,5272798391.0,8048600.0,3.0
Belgium,BEL,2000,236204532891.0,10251250.0,7.0
Brazil,BRA,2000,655448188259.0,174790339.0,48.0
Canada,CAN,2000,744773415932.0,30685730.0,31.0
Channel Islands,CHI,2000,6439703435.0,148439.0,18.0
China,CHN,2000,1211346869600.0,1262645000.0,79.0
Cameroon,CMR,2000,10566578953.0,15513944.0,18.0
